ip_str,host_nslookup,sshfp_for_hosts
185.230.79.9,silice.crans.org,"['1 1 e929232a2290732a1e5fa08e83e4a8113eaddc47', '3 1 ab43683d91b929bfbc0eb77cb079ea95100c092d', '3 2 1cde7afb4220d45b738d28fc4557a63e973054a2470e49c3ae2678c413cac92a', '4 1 13ef6e1270fbd5e62a78f902a94ee74461f870e9', '4 2 d9644c8ed3f33f20265a781f7bc5b45d2f61be6654035ac0c4cc5c804e387edd', '1 2 c46fe503a2baf5d78c052966b8cc2dd8df393cc8d237cd8125ba7126ca39e397']"
31.24.147.83,plutex-gw1.fsfeurope.org,"['4 2 6ff411041c3ea5f522111ddcdde76c048dfdace56a45d5eb3caebb8762cf6634', '4 1 dc77050fc518cf4c723d9db7a3fd1ccc2032f4a3']"
198.58.126.226,mail.heartlandhill.org,"['1 2 68b13b0dd20c407e8696ad8935fb83f42832f4e91da51991c628294529059238', '3 2 603c8e0f839a996bc9ee42f2dd29e4968bbfd35322f3b500984e868c2066f877', '4 2 055b8a1667d3db6267f5e3bd8f7b67cb737661783c5b9086021f87b597aaaa98']"
185.134.197.14,c4.http.faelix.net,"['2 2 872c5347367226080862a143bd05c97627eb1fa3f0ed912ff2ed6a3efb946c52', '1 1 b458031a30e4ed147864b267aef1f1f04b438bff', '3 2 d05a3adbdf5c51847191565b79b9c78a6c5e0b2e3c6e35edca4be1d51444b9d6', '4 2 a754a211cfaed23db592fe86575273eb715205a917cf934321d84dbf62b100e8', '2 1 190ab910c9f670c957007f9b141cda4cb4db6d28', '3 1 13acaca58c08e9b28a1583812984457221d1d7da', '4 1 dd4835638a4d0245191146865921521cdea2a617']"
52.35.159.191,box.pauldapolito.com,"['3 2 2edcf538cf66336607d921b64c99adbb89c14a9118f507b6e327a97656804915', '4 2 35280f7668556f8e92036f01e9b4edb531aaf976d8dea04be23d1c5288a95caa', '1 2 cac7acd3df91916fc4da0cc8eba970331159490a2a0634badb8b28e6a37be46e']"
66.70.220.158,smtp03.usa-validinfos.com,"['4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']"
162.243.161.171,box.badgesandbeer.com,"['4 2 e7bfec16443b7f8a67900879216eaebd687b69f98cd5e0dfc1b028a9d782fb17', '1 2 54103a80fe8ee556b505d9714ace9fe4c25815a1b541b546835c97d0da2a7c4f', '3 2 2563885afa5324f5d132b65bbfc538dd433e088442fdde05687cb54e72f6a36a']"
2a01:7e00::f03c:91ff:fea7:b76f,box.nbserver.net,"['2 2 40d0ac263a7080063962ffc28217fd6453ccb0bf55400347a60634cd4dad5f37', '3 2 cd6461c1a5fae94b47fa834f5a25bea54002939c6eedda6c1cbada12657c29aa', '4 2 863dadd0cbbeb93c836d29fdb8a31a3fa702e56b0f415bdf4d9c40853766e962', '1 2 b06099366ce8bf2a4b5dc7653fc4b7cd69cf027d7863a8ca42a71748e0fd415f']"
216.66.15.23,barron.mayfirst.org,"['4 2 ae18dd480970e6c36f20cca8ef904ff121cf47b966454089b26a9d942e5b167a', '1 2 0947bc056f825eaef74f8607a35220f7e4aab1f132b51b3f850ba690a369d45d', '3 2 0e73c678af017c2a75539bb84b949795b443e7a6341df860383e88e7b75dff11']"
163.172.91.86,box.thefeatheredeagle.com,"['4 2 333599ecfae2644d42e9f08fa324766404227b903fee4faf50842c3c30847039', '3 2 510e347793191c7a6f2a53e36e64dc66266d5fe70bd1a732ea06c99abde6113f', '1 2 58af706433e6155f2562b2fe2dec00df40953509630d50fa7e4f2954bc40d10b']"
131.188.60.60,cip4d1.cip.cs.fau.de,"['1 1 4f401a12b5c5b5f10ec0f8f7975305c75f6c54b8', '1 2 0feb0055d6d99beb8b84b6693444f58d1a532c4921b5074811ca348d6bd65286']"
62.44.127.61,rec-gw.uni-sofia.bg,"['3 2 757e50ce68ee4b5a455383e8b3fd3151a608dde6ac8c5cc96496b71ffabc6342', '1 2 90850fb8346f1367b9af9fd956240f5e5b2adf084eb31a6db85f77932595a3a7']"
46.235.224.107,sprite.mythic-beasts.com,"['2 1 e0235ebb113c2ed7695d4ad5f7e5031e86fd47ed', '3 1 bfa2c941e688b778b194e26ac4db0d4b7bd5d05b', '1 1 a6fc30bb62f27e6899554cc7beef3ffb7d0606a4', '1 2 03b524d3b0edfb156faca01a86b067e29d57b9966ae36c74caa7f1e2332df4cb', '4 1 8da2ffb0b218eed748e9a9955366803a11db0e87', '3 2 516d4735d3f145cc1dcb78a37d0924682b6f46e69ed7ee8dba7c40aa5989f8dd', '2 2 64da887ecf399228e639393b97ad3cbd8b2a7fcdb8f4b57e071dab8b9eea04ea', '4 2 7c23a1e1cc468e1147a8d5f66c811e571522b828c0ecd47886e45e547f8d887b']"
5.75.140.200,xmpp.aberrata.net,"['3 2 6f2ff768c5c7ebbca1a5d2713dd599f8430789492becb7acd87cc1335f299b34', '4 2 1be2cf46ef6e3867c1aad1c3bc316b923671d90c78aa0536f6c226e5cb466640', '3 1 18762a8f69316508142ba444516973e76ae0a761', '4 1 37c68948eb70440da5d81696b367f0affebddafe', '1 1 947ab3b978319e0dc6e26424e1601fcd0999268a', '1 2 38823a208f05c320ed226eec701b188c5b72f4c02174e27641516f7ecf26e933']"
131.188.30.214,cip1d2.cip.cs.fau.de,"['1 1 9970181d2e08acd51b82d688b6ad6ab6cfc1fea7', '1 2 80870c7a4c21cfa3b204a67cd2f8525ec4a27eadc191061552f14d9da03e9977']"
188.174.253.165,matilda.madduck.net,"['4 2 b4ad3afc64aa37620a6902f55f6b39fbc1c0b271cec6e369fe79fe20711dbd54', '3 1 c737e7882107ed210573ae618a49d743fded1b9e', '3 2 9b60ff1ce64af0b7e636bae9574c4e67506124adf91920045ae0ebe2ee30d71b', '1 1 6adca7911300ab170355251eb59991088062031d', '2 2 76da11dae9074224a99fed798b0e570e0a4c7e25242ff177c40b1ce08cc5697d', '2 1 92e091b50bdeb76ff934eec286ff5b68a30062f1', '1 2 e165831942d0a28392c2e6f2fc65a4c536def56efdf8ff448cfe2fb3e0835b33', '4 1 3c6b04a6fd8f75c26e99cb1142b066fa6b326702']"
168.119.120.223,pad.online.debconf.org,"['4 1 02f4719714db59ad3d050f076e7d32d2f6807792', '1 1 dff66f6aa26830e9ae7a7c90b86d52a30f0e225b', '4 2 1f89412b0f79b77bf355255243afa12e5187e56637d951e30780e971d4ebc23e', '1 2 865be098966630148028a1d331fb7ccb6664b6bd07bfde01031ad7f34a357e75']"
91.194.60.135,oxyvie1.octopuce.fr,"['2 2 629e8b9cc39a4641de66e2886cebcfbde72446a9671085031944e164d450647d', '3 2 12f4c62be851f320b321968cbe3ea89e5d4e5fbd4ec9060ffe2389f6a0e5a73d', '4 1 22582fa8d2aef1c5e0c002b789906d9c0ccdd51d', '4 2 5ecca4d175c1d5cd0ea9a02940c512c24d5d69a1dadffc2dc4701b8ccd399831', '3 1 83e2b3ba14f8c971ce18f4743c1f35bc45032cf3', '1 1 1450de5db319b4c6982c10ace08c476f44dc6ae7', '2 1 e4273c9fc5724cd9eaf5f5dcbcd950c4b763637a', '1 2 57453e5dbff78b9dcb5b5a0378c37f7a558d0d4fb4d526c0d956f7d613f545bc']"
91.134.119.192,immoparentissy.clients.teambox.fr,"['4 1 1b56135e5960304f40a3bd4cd64a1b00820c8849', '4 2 31bf31f94fd41859547d8931f5d14e151dfc4ba126519faa5c0a93e5d2158de9', '1 1 8f65a9ca08948271d86ff7b27d5d0ef5044b0915', '1 2 fa73f76d5008bb086c739dccc1f29222d1b62f4dcdc980217c218a17c0f328ef']"
79.136.98.131,deployment.pingpong.net,"['4 2 d38483cb41c060be0d8ea3b29b1dca5cd27523576b47adeeb75ed036fd6dcf97', '3 2 c532b1bb04716784d2fcbdc956be35d1a491e269f5834fc380df4b0f961ebd11']"
3.105.50.166,box.franklinbridge.club,"['4 2 4781afccd2edef1325dcadb6bc679d318de48059a18386abcaed812c60cbd1ee', '1 2 456a61276b3f78e3e0a497695bce497038eacbe51023b48408d4801f05fd41a9', '3 2 411370f4d3f759bd154f5c4716a78afa2a0a9de86f5148b0cb9f6896b024db1e']"
46.101.1.77,box.netweavings.me,"['4 2 87e8292929192893fd526d9861cfef9f04a956bd5b12deeec0ec4d8e91154d31', '1 2 77ab4c00557032ccbad279de889b9a2eed6ca0ec741a7155c14f0b10ac67e763', '2 2 d49b5d74aea6e3e843c9a9ec9f4d4c2c589c59308040cc4a302491774f184f18', '3 2 29a3626c6862ff6d89de5609598dfc0bbcbd0aa42b46f09612ed4a92a15cc6bf']"
131.188.42.42,fautv.informatik.uni-erlangen.de,"['1 1 9e6d71069a3b2ed0a4099bf4422871436aec0112', '1 2 fd4529a20fe6bf9e51bc6c6fb7438c22aa5d5ccc2fa24528f4602de199e710a1']"
139.162.143.153,box.asafgartner.com,"['3 2 ae6cdc3202279a19179f21f6a43fde0b8ddaa584db6d4beae64d7c48adce8759', '4 2 c7f813b13be650d874ed52c670b8d425847bb9a93ed1947bdba9e4b4a7d10e6b', '1 2 4a4fe8fcd70eaf854c7cee2584b47f9abdeb35dc4f9651a73b079a5e3aab1ab3']"
198.71.6.35,nber12.nber.org,"['1 2 c44b8df11c6cdac17a77ffc348391db56de2b423b1a1b214f792caea5acce053', '1 1 7bbf5f1b1a023e9d0bff67170f16f358e3e45773', '3 1 3e192db8c877ee03eb48f2c6d3a0e317dc6a6be2', '3 2 975d76258096683672c697d0dba2da229863ee29c6b8a0d64d94c21f910d335a', '4 1 911edb1dac717518a692aa73df0f7fc3913a960e', '4 2 b0252fe1016b177c50c31c101144da17d2d3008672eedc8f0cf243c8e5b60f59']"
51.159.70.18,box.topbrandsdaily.com,"['3 2 2ebf654ecdb1c497ef507563c1f267da2b8888eecf50d2717d36ad736f23de8e', '4 2 c47e699d1561b03108bd47ae1007eb1ff155f3037c0be5e3b6ba6532ee14c1f4', '1 2 7516b1e0df1bc0b63b4bb5f47b462cf369dcc5ac0f79a1b8eb315a024b9fb94d']"
51.222.207.7,box.temperworld.com,"['4 2 d07de62c5f3eabbe806efd18cee2e2ced9535944a00371a0893a1653d74acd57', '1 2 431ddf7980ed74619d088a0a30bafe78a2f331399177946c91c82b77ad0d90d3', '3 2 e72a01960b9fa8c2334c7bd587a39acf66422b0fef0c636e2e1dba880156939c']"
175.45.180.138,box.paranel.au,"['1 2 cd37c43b9978ee8669d0d1be1b2a2179ea805742ad20cbfce548a9708cb72313', '3 2 c0ad9d34e0990909c2e11abe8802f431c14b846432e347720a514f31b231bd46', '4 2 155de581039e426eb34ef56ab370e9e96ac73a9f55d0463b1530c0dc3f121d60']"
130.239.242.86,b-cn1026.hpc2n.umu.se,"['4 1 92f5416eb1eb547b9c5afd6dd67161f10fb105d7', '1 1 a4974a596737d89e96099d5ca896ab3fa5c0fb30', '3 1 6d30ed8675ea8d1a2c0674263f8c5a6b4add7ae5']"
128.52.129.29,daphne.csail.mit.edu,"['2 1 2c77dc9f0353c760043d7d8a3460a060a90d5363', '3 1 91a7b0bf104c03f3206ff1e3b6cb5f4aa3070698', '1 2 1d4316efbe22e821b449787492877deaafd267d4491024abedebbc2773c4f2aa', '4 1 470d086216aa8692b326017da67f90ac4a1647aa', '1 1 06e2c3a377dfcab29a06eaf604d44e35330cfdc6', '2 2 9cc444b4a1015b5f6c20f8d71243b2534104c6228d769aa7b5b5d0857bce5d7f', '4 2 30da3ea78deae02c23189ff39f1ddc6444a43aca150bc1b48a0c1d3ac0297db0', '3 2 7ad0039a593f527a479fab714dd7e9ff0e1d81e721b0e7c5c9cbc36818949275']"
131.188.30.40,cipvm0.cip.cs.fau.de,"['1 1 058af93eef67d08a98d1dbbe1a13e126c6059915', '1 2 edd7362cb304dfef03bf226dcd80bc60a727823426e08631d4fdb157a4cba8a7']"
89.234.186.3,web02.grifon.fr,"['2 2 5e9556409c0545904487d344ae8ab3baf0d1dad5bf65f68c795b0ffb64db11d9', '3 1 b77f7bfb165780eedda7a8f93f6577771e31df85', '3 2 fc9be8403129859e66a665d990cb764feee819855b8707d4de1cc5b285709be6', '4 1 732721d746c890de249db480cc2fb6b28c7c3415', '4 2 8d55671200226f192a5b165f48f0d2fa73f19b1668d3b6af6654b73ffa479286', '1 1 c9514dd26b7d637d96c02b22cad88a159502d31c', '1 2 70c139364616e77557740fbf300912d617b74709d214c8353af43f15ad9414df', '2 1 1f648c28e2a44ec099f2b000852cbc664865b114']"
54.39.78.219,smtp02.infotechnodeals.com,"['4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f', '2 1 7df904865bc0424e076cf538d4c2a22dda2c9dd3', '3 1 013700abde3cbb1d6945fa457d4930ab7b28867d']"
130.239.45.14,radar.hpc2n.umu.se,"['3 1 77463187947893db1c343f567cc5c088f292417f', '1 1 d6bdda2362facec71dc647f6b7ab345041a30ba1', '4 1 cad036f6f95f53e9bc6909dab7b77ac07760cd36']"
23.168.144.162,hekla.falconk.rocks,"['4 2 9228781a1ab9a55d057e0bf96dcaa23a9ff31969b7fa006cee1a9d1fb20a3363', '4 1 c34c506c51dd8b03083ce8463dddab915973710c', '1 1 0d28c0175d6b2182260fe45d5e74d2e4a562b35f', '1 2 44bf18edb95dca394ac040ad1b9183945b2722332f109ab24bc3ae0ab218011e', '2 1 f8b0a50dda3d24f256f8ce1f4686e640b7300ecb', '3 1 840a2750a2de331758e0fedd8670628398d32af7', '3 2 fe3ee1b641571e8a01a75d9cd8c61e4fbeb466ce9b3b88f836f363e64f7af78d', '2 2 1aa4ef222624b7dec506696d86fc5bc56f2e1019eda3c48493bb177b4027cc52']"
193.107.238.67,box.storozh.su,"['4 2 bbccf865e6468fc34a99c9cdc06e6f8cb68b8f085da50bdf035d0f857b65c9a2', '1 2 a3a02fa762386e0613ce8411304c6a17bc6682b91e54fdca34a502b07c04e04e', '3 2 f5a04481d19f04e485ae226a663a4d94284f2f4d6be6bb9bc1602970b7a0e9bb']"
157.230.5.215,box.payetteforward.org,"['4 2 eaae288b473db85780ab819cf41c952862f7f40f61c7e626599d83cedc8e52b6', '1 2 76866b5154cd6a370a22d42feb1466346a2484ce03ab446ce77ea9c9a673f2a7', '3 2 b3bbd18aae9d2f717bf5b32281560564efa5a48c7774671157efc9639ba8d5a4']"
141.95.30.11,jossetcendan.clients.teambox.fr,"['4 2 bbcf27c9379df894c816ea6afefeaf31fa378e79e9ac7fed4607b37fa283520e', '4 1 0e1d9a361126cadaa1b0b1d6a5e4ff07cf47be60', '1 2 362e00bb2f1c56c460fbac42117980427ad77f3eb2d53d0991bb7d173b38a4f7', '1 1 3ecd4e25eca13787beddff4f448e40cfb3483800']"
91.194.61.41,trovisiocrf1.octopuce.fr,"['1 2 174ab7dea78d4e1bed7f7bda6c9c8893c3c42268fcdd238ec3d56c5a2c0279ff', '3 2 9ccb449673556ef6791b69c9209f6e8d0bc60bd2dbf71c41ecf3985b7889c3d0', '3 1 c6a749d1223af281570f42f0647954410ddd4206', '4 1 1514983e9431118bd0eb00fb116edcd59b0b29fd', '1 1 2f30c7f36d86fe1071843b61e21728bc18b1d393', '4 2 3a41d7c17eee64cc1a8fd8a98b9c11b8e1aa71ef539210afafb3e696d7311c9e']"
131.188.30.213,cip1d3.cip.cs.fau.de,"['1 2 e8a1b07f5e3b05859e581e651e8a9c6f45510cf1f5063d9ec6519b9fe6cf1274', '1 1 d1ac3dd425d58684dfedf91563a6b5c04700e13f']"
131.188.30.83,cip1e3.cip.cs.fau.de,"['1 2 e2f5ea47da005c34e88108b902acc97fbdac4015cbb2bcfb714279846815aa02', '1 1 c0e2cac0c884be8517af45fa16b1929c1c8fdcc3']"
213.207.9.61,jointtransit01.ring.nlnog.net,"['1 2 65840de2c04301262154f05c46740707d62c5298a2c7ef0770df374464d1aa82', '3 2 d75782d9cfb31baa0aeab0abaebc9f76aa53aa9afe08e76cb8d388ee17a72b5e']"
131.188.30.221,cipfsiinf0.cip.cs.fau.de,"['1 1 1c30b8be4de1222b0abdfcf5f5eae7a37ce334f2', '1 2 80043ea60390902b3fd1363b03858c3ff3ba2e6ca67ae7d39d5dcd1fa345f937']"
163.172.27.206,box.smtpsoldiers.com,"['3 2 dd1f6fa52d02e0be4a78c5cfe267f706561760f1026c19e7a3aff655969ee49a', '4 2 4bc82784bec42bb0173e826b493901661d26279f10dc4e585815191403774ef3', '1 2 5efd61c7da3cb41848d180d514e78cc6c01d7bbf7fe3a8fe5defb3c1a46ccc6c']"
213.192.42.16,david.itin.cz,"['3 1 7cc97ccc1c6aa3a989bc01c8b1842ca82598b420', '3 2 ab0027e2f872d022eca2c226c1d022d736cd8b086fbec916ddc480520937d0d6', '4 1 7d8c7293b536f8810afcde610b49309d66ca20ec', '4 2 3a09959deed2186489ea8ec692c09726409cc394e26e30821f8bfa851e1cf5a2', '1 1 4a118d8fc0e2f7b35c351b9f01a52e8dfb620f78', '1 2 0c89201987e050a8b636decf383babae671a8c5d4643dad672f6624b5e5de1e9', '2 1 8d17e6aeccf38cc1c59583e49994f352028512bf', '2 2 bdfd6ce77d18cc803c4a9a50d6eae6bc032ef62527cd1f2d4b17bbcdc37c5643']"
51.68.173.133,box.pdb.im,"['4 2 833b3d5621e3f3a4b7160607652b97162052caa7beafd49bc8455cfc98a34536', '3 2 45d5b660fc9a255c74ce0fdf6d903edbdfcbee9bd4f8df2de608665db6565956', '1 2 c1194c872924f4641a6a7e4b8aac6ef6fa98d3f52dd240ac596a02722957d9a2']"
5.161.150.122,www.pfak.org,"['3 2 e96935b6d2cf26e777181c23cf61e2746c57b841752b566e2c52f786c652656a', '4 1 0f6af1e141a2db233c7937e453fc7d90e70cbd3d', '1 2 f3337a93e8e7bf4a59e532b3a3d07c055855d1e8520900030ca2e62289317ec8', '1 1 86b127818fac67c6e4971c77c5ec3fb7f4f66290', '3 1 b30503d8447148a5c484a30581d0dce3e10666e1', '4 2 35aeb995fa105782833cb96c0054407c0da0eda2093e9888c3656568aea407d5']"
130.239.45.11,valle.hpc2n.umu.se,"['1 1 56133fb05a0150789e62c502860cc8f55605f52b', '3 1 f4faba756580c4846cd01431138d952901eb3912', '4 1 e18ea3b8676616e12853f09e1393e351353d99a3']"
169.237.30.128,t28.math.ucdavis.edu,"['1 2 11d1568bee6a5b6c86c860be0632d486543d121341c59d40b0644eafc2d6ff2f', '4 1 4c6d851813df39d01e54c20497af9da4368e234c', '1 1 844528f96dfb13d6ea79b58e004e1964254c0ed8', '4 2 83521dfe653413e68c5fdb7dbd89fbe65bc6f974c3c683e58d67b8788a63fc4a', '3 2 edfc658f7bfb35dfd305ba97e4862d2c546674db52057a20d05f6f06b4d621e9', '3 1 24b150991d67e3d88abf3799416f26e5e9e03712']"
130.239.242.39,b-cn0929.hpc2n.umu.se,"['1 1 e3c65d69a847cb18c291978bf53bfaca14d59093', '4 1 7d7b7c01471a6f57f50105ad2c45746e2d461ecf', '3 1 fe6248e885d0928b626b8bc556bfb47667caf16b']"
169.237.31.173,d173.math.ucdavis.edu,"['1 1 0a2f3e5107ad93fe72f050bf28aa93020db40607', '2 2 0d110af40a0f9d67681308246bd886d3c4c3d8ceb055c9cc22edbccf8b46afbe', '2 1 73fc4aa2a754d6f2dd5a85c872bcc898f3fe57b9', '1 2 6856719892d031aa3852596b33625bf1e1cfcc6c4552de7dbb12f5ddd45c44c8']"
193.0.0.180,ripe01.ring.nlnog.net,"['3 2 58a26cba32e93d89a0b95ae9c9fed517ba1228ba47ed03389ad8a6df169baf78', '1 2 33f1d3ba8249e217767db73949be7696eeac5124a1b780dcfefc204a745ed53c']"
45.33.108.208,box.stetsiak.com,"['4 2 9714fe7adc175243a3765bb8a947be16cd17c4c7e6959a3b62af3ecce16ca27d', '1 2 abe3faf26ce68d546516cad4b83ffc6f5fc088c21c4b54eaca0e1449c5dcc0bc', '3 2 d9f6ce1d7ef6b8671025d76ab28ba8e2cdde564cda575d1d66108c3d490f0e28']"
131.188.60.138,cip6c6.cip.cs.fau.de,"['1 1 14483794cc3894c8d1fe1a14defb42c68a7435f8', '1 2 7a7ad13397a4e52518c711cde253f2d94a16e5754773b5e8df3cabf302c00b34']"
